
MODEL: _unknown

MODEL: account.account
milestone_id | type=many2one | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.milestone_id'> | related=task_id.milestone_id | relation=project.milestone
message_partner_ids | type=many2many | required=False | readonly=True | store=False | compute=_compute_message_partner_ids | related=None | relation=res.partner
so_line | type=many2one | required=False | readonly=False | store=True | compute=_compute_so_line | related=None | relation=sale.order.line
validated | type=boolean | required=False | readonly=True | store=True | compute=None | related=None | relation=None
validated_status | type=selection | required=True | readonly=True | store=False | compute=_compute_validated_status | related=None | relation=None
user_can_validate | type=boolean | required=False | readonly=True | store=False | compute=_compute_can_validate | related=None | relation=None
is_timesheet | type=boolean | required=False | readonly=True | store=False | compute=_compute_is_timesheet | related=None | relation=None
duration_unit_amount | type=float | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.duration_unit_amount'> | related=unit_amount | relation=None
unit_amount_validate | type=float | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.unit_amount_validate'> | related=unit_amount | relation=None
display_timer | type=boolean | required=False | readonly=True | store=False | compute=_compute_display_timer | related=None | relation=None
timesheet_invoice_type | type=selection | required=False | readonly=True | store=True | compute=_compute_timesheet_invoice_type | related=None | relation=None
commercial_partner_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_commercial_partner | related=None | relation=res.partner
timesheet_invoice_id | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=account.move
order_id | type=many2one | required=False | readonly=True | store=True | compute=<bound method Field._compute_related of 'account.analytic.line.order_id'> | related=so_line.order_id | relation=sale.order
is_so_line_edited | type=boolean | required=False | readonly=False | store=True | compute=None | related=None | relation=None
allow_billable | type=boolean | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.allow_billable'> | related=project_id.allow_billable | relation=None
sale_order_state | type=selection | required=False | readonly=True | store=False | compute=<bound method Field._compute_related of 'account.analytic.line.sale_order_state'> | related=order_id.state | relation=None
x_plan2_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.account
x_plan4_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.account

MODEL: account.analytic.plan
name | type=char | required=True | readonly=False | store=True | compute=None | related=None | relation=None
description | type=text | required=False | readonly=False | store=True | compute=None | related=None | relation=None
parent_id | type=many2one | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.plan
parent_path | type=char | required=False | readonly=False | store=True | compute=None | related=None | relation=None
root_id | type=many2one | required=False | readonly=True | store=False | compute=_compute_root_id | related=None | relation=account.analytic.plan
children_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.plan
children_count | type=integer | required=False | readonly=True | store=False | compute=_compute_children_count | related=None | relation=None
complete_name | type=char | required=False | readonly=True | store=True | compute=_compute_complete_name | related=None | relation=None
account_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.account
account_count | type=integer | required=False | readonly=True | store=False | compute=_compute_analytic_account_count | related=None | relation=None
all_account_count | type=integer | required=False | readonly=True | store=False | compute=_compute_all_analytic_account_count | related=None | relation=None
color | type=integer | required=False | readonly=False | store=True | compute=None | related=None | relation=None
sequence | type=integer | required=False | readonly=False | store=True | compute=None | related=None | relation=None
default_applicability | type=selection | required=False | readonly=False | store=True | compute=None | related=None | relation=None
applicability_ids | type=one2many | required=False | readonly=False | store=True | compute=None | related=None | relation=account.analytic.applicability
id | type=integer | required=False | readonly=True | store=True | compute=None | related=None | relation=None
display_name | type=char | required=False | readonly=True | store=False | compute=_compute_display_name | related=None | relation=None
create_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
create_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None
write_uid | type=many2one | required=False | readonly=True | store=True | compute=None | related=None | relation=res.users
write_date | type=datetime | required=False | readonly=True | store=True | compute=None | related=None | relation=None

MODEL: account.asset
analytic_distribution | type=json | required=False | readonly=False | store=True | compute=_compute_analytic_distribution | related=None | relation=None
analytic_precision | type=integer | required=False | readonly=False | store=False | compute=None | related=None | relation=None
